filename,width,height,class,ymax,xmin,ymin,xmax
-00001.png,2160,3840,sleepers,2721.348855,1895.189055,1818.0099,2026.252512
-00001.png,2160,3840,sleepers,2617.861416,1852.161493,1806.403832,1954.681759
-00001.png,2160,3840,sleepers,2527.91439,1814.441772,1792.86342,1892.78273
-00001.png,2160,3840,sleepers,2450.540603,1774.787706,1805.43666,1843.456942
-00001.png,2160,3840,sleepers,2391.543091,1754.477087,1792.86342,1812.507427
-00001.png,2160,3840,sleepers,2343.175809,1731.324065,1770.199802,1779.062581
-00001.png,2160,3840,sleepers,2296.449996,1708.341516,1773.387726,1751.527231
-00001.png,2160,3840,sleepers,2256.873304,1687.227293,1768.246934,1728.566328
-00001.png,2160,3840,sleepers,2216.410218,1671.802907,1767.853823,1708.045284
-00001.png,2160,3840,sleepers,1754.264164,1689.790517,2189.753644,1658.316891
-00001.png,2160,3840,sleepers,2163.588479,1645.335724,1754.689435,1676.03888
-00001.png,2160,3840,sleepers,1754.435897,1659.812421,2136.998072,1631.288883
-00001.png,2160,3840,sleepers,2115.579146,1621.390743,1746.660418,1647.329229
-00001.png,2160,3840,sleepers,1749.418916,1634.834856,2093.051069,1611.542083
-00001.png,2160,3840,sleepers,2076.986874,1603.753382,1749.193386,1624.626567
-00001.png,2160,3840,sleepers,1750.653767,1613.592575,2059.812929,1595.156661
-00001.png,2160,3840,sleepers,2045.793269,1586.848714,1742.205209,1606.831353
-00001.png,2160,3840,sleepers,1742.854267,1597.355101,2031.124412,1580.973857
-00001.png,2160,3840,sleepers,2020.479855,1574.872708,1742.644211,1590.901407
-00001.png,2160,3840,sleepers,2007.989047,1568.452085,1739.979373,1584.709345
-00001.png,2160,3840,sleepers,1993.720627,1563.614948,1739.370881,1578.827254
-00001.png,2160,3840,sleepers,1984.187582,1558.54418,1737.951066,1572.945162
-00001.png,2160,3840,sleepers,1971.612077,1553.676242,1735.719928,1567.671563
-00001.png,2160,3840,sleepers,1968.772446,1548.605474,1737.342574,1562.600795
-00001.png,2160,3840,sleepers,1956.602602,1544.346028,1735.517097,1557.124365
-00001.png,2160,3840,sleepers,1952.140326,1541.100736,1732.880298,1552.459258
-00001.png,2160,3840,sleepers,1940.984635,1537.652614,1734.097282,1547.996982
-00001.png,2160,3840,sleepers,1932.668575,1533.190338,1735.719928,1542.926213
-00001.png,2160,3840,trafficsignals,1856.021944,1207.315839,1883.081187,1252.243658
-00001.png,2160,3840,varioussignals,1838.764988,1396.934512,1853.364988,1413.034512
-00001.png,2160,3840,varioussignals,1765.543307,1383.032611,1776.543307,1392.632611
-00001.png,2160,3840,balise,1771.283904,1490.768823,1799.683904,1494.068823
-00001.png,2160,3840,balise,1763.683904,1483.468823,1792.483904,1487.968823
-00002.png,2160,3840,sleepers,2753.418922,1908.354506,1821.304777,2058.775796
-00002.png,2160,3840,sleepers,2651.824723,1866.090888,1830.115112,1970.5455
-00002.png,2160,3840,sleepers,2558.202441,1824.309044,1810.880624,1912.388219
-00002.png,2160,3840,sleepers,1785.502022,1871.53486,2487.646162,1793.168513
-00002.png,2160,3840,sleepers,2417.700259,1762.837988,1786.826322,1823.659588
-00002.png,2160,3840,sleepers,1778.903247,1788.500939,2350.932833,1734.768249
-00002.png,2160,3840,sleepers,2307.831301,1714.168252,1777.667974,1759.351758
-00002.png,2160,3840,sleepers,1761.5049,1737.484069,2270.21687,1695.571989
-00002.png,2160,3840,sleepers,2234.97503,1677.824299,1761.167674,1715.758748
-00002.png,2160,3840,sleepers,1761.80152,1694.524905,2202.667698,1662.410946
-00002.png,2160,3840,sleepers,2171.73601,1649.734024,1750.613444,1680.819816
